subject,predicate,object
n630dbcfd8f394cab9309f792f0907fb7b171,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/django_session#session_data
n630dbcfd8f394cab9309f792f0907fb7b72,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b12,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b89,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/django_migrations#applied
n630dbcfd8f394cab9309f792f0907fb7b71,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/django_admin_log#action_time
n630dbcfd8f394cab9309f792f0907fb7b161,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b162
n630dbcfd8f394cab9309f792f0907fb7b95,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b183,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b39,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
urn:MAPPING-ID14,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b102
n630dbcfd8f394cab9309f792f0907fb7b231,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
n630dbcfd8f394cab9309f792f0907fb7b246,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
urn:MAPPING-ID12,http://www.w3.org/ns/r2rml#subjectMap,n630dbcfd8f394cab9309f792f0907fb7b83
n630dbcfd8f394cab9309f792f0907fb7b94,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#ObjectMap
n630dbcfd8f394cab9309f792f0907fb7b143,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#IRI
urn:MAPPING-ID25,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b196
n630dbcfd8f394cab9309f792f0907fb7b193,http://www.w3.org/ns/r2rml#class,http://example.org/mappingdata/authentication_userpreferences
n630dbcfd8f394cab9309f792f0907fb7b195,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b74,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
urn:MAPPING-ID4,http://www.w3.org/ns/r2rml#predicateObjectMap,n630dbcfd8f394cab9309f792f0907fb7b26
n630dbcfd8f394cab9309f792f0907fb7b139,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#PredicateObjectMap
n630dbcfd8f394cab9309f792f0907fb7b36,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b37
n630dbcfd8f394cab9309f792f0907fb7b30,http://www.w3.org/ns/r2rml#predicate,http://example.org/mappingdata/authentication_chathistory#response
n630dbcfd8f394cab9309f792f0907fb7b195,http://www.w3.org/ns/r2rml#column,llm_id
n630dbcfd8f394cab9309f792f0907fb7b9,http://www.w3.org/ns/r2rml#objectMap,n630dbcfd8f394cab9309f792f0907fb7b10
n630dbcfd8f394cab9309f792f0907fb7b53,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/r2rml#TermMap
n630dbcfd8f394cab9309f792f0907fb7b62,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#string
n630dbcfd8f394cab9309f792f0907fb7b105,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
n630dbcfd8f394cab9309f792f0907fb7b124,http://www.w3.org/ns/r2rml#column,created_at
n630dbcfd8f394cab9309f792f0907fb7b222,http://www.w3.org/ns/r2rml#termType,http://www.w3.org/ns/r2rml#Literal
n630dbcfd8f394cab9309f792f0907fb7b35,http://www.w3.org/ns/r2rml#datatype,http://www.w3.org/2001/XMLSchema#integer
